text_idx,seed,ext_ratio_pct,orig_chars,ref_chars,ext_chars,hyb_chars,hyb_ratio,bart_input_tokens,bart_truncated,hyb_bert_f1,hyb_rouge1,hyb_rouge2,hyb_rougeL,hyb_kw_match,hyb_kw_content_match,gen_bert_f1,gen_rouge1,gen_rouge2,gen_rougeL,gen_kw_match,gen_kw_content_match,gen_bart_tokens,gen_bart_truncated,gen_length_basis,hyb_rouge1_morph,hyb_rouge2_morph,hyb_rougeL_morph,gen_rouge1_morph,gen_rouge2_morph,gen_rougeL_morph
1,123,46,1130,100,250,155,0.137,129,0,0.6388,0.4157,0.1028,0.2039,0.134,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.3597,0.0292,0.1871,0.2011,0.0745,0.1164
1,123,47,1130,100,250,155,0.137,129,0,0.6388,0.4157,0.1028,0.2039,0.134,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.3597,0.0292,0.1871,0.2011,0.0745,0.1164
1,123,48,1130,100,307,193,0.171,155,0,0.6404,0.3649,0.0989,0.1754,0.1443,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.338,0.0286,0.169,0.2011,0.0745,0.1164
1,123,49,1130,100,307,193,0.171,155,0,0.6404,0.3649,0.0989,0.1754,0.1443,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.338,0.0286,0.169,0.2011,0.0745,0.1164
1,123,50,1130,100,307,193,0.171,155,0,0.6404,0.3649,0.0989,0.1754,0.1443,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.338,0.0286,0.169,0.2011,0.0745,0.1164
1,123,51,1130,100,307,193,0.171,155,0,0.6404,0.3649,0.0989,0.1754,0.1443,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.338,0.0286,0.169,0.2011,0.0745,0.1164
1,123,52,1130,100,307,193,0.171,155,0,0.6404,0.3649,0.0989,0.1754,0.1443,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.338,0.0286,0.169,0.2011,0.0745,0.1164
1,123,53,1130,100,346,212,0.188,180,0,0.611,0.3301,0.0847,0.1618,0.134,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.289,0.0234,0.1734,0.2011,0.0745,0.1164
1,123,54,1130,100,346,212,0.188,180,0,0.611,0.3301,0.0847,0.1618,0.134,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.289,0.0234,0.1734,0.2011,0.0745,0.1164
1,123,55,1130,100,346,212,0.188,180,0,0.611,0.3301,0.0847,0.1618,0.134,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.289,0.0234,0.1734,0.2011,0.0745,0.1164
1,123,56,1130,100,346,212,0.188,180,0,0.611,0.3301,0.0847,0.1618,0.134,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.289,0.0234,0.1734,0.2011,0.0745,0.1164
1,123,57,1130,100,374,224,0.198,193,0,0.6224,0.3522,0.1203,0.1509,0.1856,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.3095,0.0241,0.1548,0.2011,0.0745,0.1164
1,123,58,1130,100,374,224,0.198,193,0,0.6224,0.3522,0.1203,0.1509,0.1856,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.3095,0.0241,0.1548,0.2011,0.0745,0.1164
1,123,59,1130,100,374,224,0.198,193,0,0.6224,0.3522,0.1203,0.1509,0.1856,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.3095,0.0241,0.1548,0.2011,0.0745,0.1164
1,123,60,1130,100,374,224,0.198,193,0,0.6224,0.3522,0.1203,0.1509,0.1856,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.3095,0.0241,0.1548,0.2011,0.0745,0.1164
1,123,61,1130,100,374,224,0.198,193,0,0.6224,0.3522,0.1203,0.1509,0.1856,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.3095,0.0241,0.1548,0.2011,0.0745,0.1164
1,123,62,1130,100,414,250,0.221,214,0,0.6163,0.3371,0.092,0.1429,0.1546,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2634,0.0197,0.1463,0.2011,0.0745,0.1164
1,123,63,1130,100,414,250,0.221,214,0,0.6163,0.3371,0.092,0.1429,0.1546,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2634,0.0197,0.1463,0.2011,0.0745,0.1164
1,123,64,1130,100,414,250,0.221,214,0,0.6163,0.3371,0.092,0.1429,0.1546,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2634,0.0197,0.1463,0.2011,0.0745,0.1164
1,123,65,1130,100,414,250,0.221,214,0,0.6163,0.3371,0.092,0.1429,0.1546,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2634,0.0197,0.1463,0.2011,0.0745,0.1164
1,123,66,1130,100,462,290,0.257,238,0,0.6157,0.3097,0.0792,0.147,0.1443,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2574,0.02,0.1485,0.2011,0.0745,0.1164
1,123,67,1130,100,462,290,0.257,238,0,0.6157,0.3097,0.0792,0.147,0.1443,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2574,0.02,0.1485,0.2011,0.0745,0.1164
1,123,68,1130,100,462,290,0.257,238,0,0.6157,0.3097,0.0792,0.147,0.1443,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2574,0.02,0.1485,0.2011,0.0745,0.1164
